Campaign,Funnel,Category,Brand,Start Date,End Date,Objective,Region,Platform,Buying Type,Ad format,Placement,TA,Unit,Pool size,Don Gia,Discount,Net media cost,Total media cost VND,Pool size,reach_plan,reach_estimate,%reach_estimate,reach_combine_estimate,%reach_combine_estimate,impression_plan,impression_estimate,views_plan,views_estimate,engagement_plan,engagement_estimate,click_plan,click_estimate,frequency_estimate,frequency_estimate_week,frequency_combine_estimate_week,er_estimate,vtr_estimate,ctr_estimate,click to rate(CTR),So tuan,Ngay,exchange_rate,bench_mark
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,Youtube,YT For Reach,Video 15s,Auction  instream/infeed/shorts,F25-44, CPM ,1.620.000,VND 17.319,,VND 28.056.248,33579942,2.025.000,810,810,40%, 1.216.800 ,, 1.620.000 , 1.620.000 , -   ,243,,,,1.62,2,,,,"15,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,Youtube,YT For Reach,Video 15s,Auction  instream/infeed/shorts,P18-24, CPM ,813.6,VND 15.129,,VND 12.308.595,14924789,1.017.000,406.8,406.8,40%,,,813.6,813.6, -   ,122.04,,,,814,2,,,,"15,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,Youtube,YT Non Skip,Video 15s,Auction  instream/infeed/shorts,F25-44, CPM ,1.215.000,VND 34.259,,VND 41.624.144,47591094,2.025.000,,607.5,30%,912.6,, 1.215.000 , 1.215.000 , -   , 1.032.750 ,,,,1.215,2,,,,"85,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,Youtube,YT Non Skip,Video 15s,Auction  instream/infeed/shorts,P18-24, CPM ,610.2,VND 32.694,,VND 19.950.008,22862140,1.017.000,,305.1,30%,,,610.2,610.2, -   ,518.67,,,,610,2,,,,"85,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,2.640.000,VND 13.867,,VND 36.607.644,37925519,4.400.000,1.320.000,1.320.000,30%, 2.730.000 ,, 2.640.000 , 2.640.000 ,,79.2,,,,2.64,2,,,,"3,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,2.820.000,VND 10.192,,VND 28.740.162,29774808,4.700.000,1.410.000,1.410.000,30%,,, 2.820.000 , 2.820.000 ,,84.6,,,,2.82,2,,,,"3,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,HCM,OTT,Instream ,TVC 15s,Selected OTT app list,F25-44, CPM , 2.869.431 ,VND 125.000,35%,VND 233.141.251,241534336, 2.000.000 ,, 1.000.000 ,50%, 1.000.000 ,, 2.869.431 , 2.869.431 ,, 1.721.658 ,,,,2.869,3,,,,"60,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Urban,Youtube,YT For Reach,Video 15s,Auction  instream/infeed/shorts,F25-44, CPM ,2.442.900,VND 15.476,,VND 37.807.399,45738057,4.071.500,1.221.450,1.221.450,30%, 1.940.550 ,, 2.442.900 , 2.442.900 , -   ,366.435,,,,2.443,2,,,,"15,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Urban,Youtube,YT For Reach,Video 15s,Auction  instream/infeed/shorts,P18-24, CPM ,1.438.200,VND 14.324,,VND 20.600.613,25122688,2.397.000,719.1,719.1,30%,,, 1.438.200 , 1.438.200 , -   ,215.73,,,,1.438,2,,,,"15,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Urban,Youtube,YT Non skip,Video 15s,Auction  instream/infeed/shorts,F25-44, CPM ,1.832.175,VND 27.697,,VND 50.746.155,58678628,4.071.500,,1.221.450,30%, 1.940.550 ,, 1.832.175 , 1.832.175 , -   , 1.557.349 ,,,,1.832,2,,,,"85,0%","0,1%"," 2,0 ",10,,,
